Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
"Be Tough, Victor",1983,,"Győző is a 38-year-old insurance agent. At a playground, he gets acquainted with the 40 year old Gábor, left by his wife, and with a career as an opera singer in pieces.",en,https://image.tmdb.org/t/p/w500/wmDeuEsG9gzNrQ4KslzZCnjw0It.jpg,0,Rezső Szörény,
Zrelá mladosť,1983,"36, 18",,sk,N/A,0,Martin Ťapák,"Slovenská filmová tvorba, Filmové studio Barrandov"
Second Generation,1983,18,"A teenager arrives from Germany to his grandparents in Novi Sad. He can't adjust to Yugoslavian schools, system or slow way of life, so he asks his folks to go back, but his parents insist on him staying. What now?",sh,https://image.tmdb.org/t/p/w500/3MkkkNIl6nPLg5Vb3PhZNdBlV1J.jpg,5.8,Želimir Žilnik,"Art film, Radio Televizija Novi Sad"
Les Délices du tossing,1983,,"Les Delices du Tossing (literally translates to ""The Delights of Tossing""), the 1983 Gerard Kikoine French sexploitation movie starring Cathy Stewart, Patricia Samba, Christine Schwarz, Marianne Aubert, Marilyn Jess, and Alban Ceray. It appears this movie was never released in the U.S.",fr,https://image.tmdb.org/t/p/w500/t1oATbaMa1IL4lzME52HO7Sf0Nv.jpg,7.2,Gérard Kikoïne,Gold Production
European Rendezvous,1983,"99, 10402",A video of live performances by Chris & Cosy with visuals by John Lacey. Recorded during the CTI European tour of 1983. (throbbing-gristle.com),en,https://image.tmdb.org/t/p/w500/76b7CtirAs0hmbPf1z4jKBvAJsA.jpg,0,John Lacey,
Private Teacher,1983,,"A female tutor manages to ""broaden the horizons"" of a shy and withdrawn young man. He then gets the courage to hit on his young female neighbor duo, but gets taken advantage of in his sleep by an older neighbor.",en,https://image.tmdb.org/t/p/w500/8FkjXUZusNVpQUBY4pGhCQfw00w.jpg,7,Gary Graver,Caballero Home Video
Satisfactions,1982,"35, 18",A barmaid using her buxom figure to console a dumped guy is just one link in a chain of events that causes various men and women to reach sexual satisfaction.,en,https://image.tmdb.org/t/p/w500/4Ip95G9gK66zpdROF5q64vrheq5.jpg,5.3,Gary Graver,Caballero Home Video
Mr. President,1983,35,"Adaptation of the famous novel, impassioned denunciation of the Guatemalan dictator Manuel Estrada Cabrera.",es,N/A,0,Manuel Octavio Gómez,"TFI France, ICAIC, SFP"
The House,1983,"9648, 27, 18, 53","A young couple moves into an old house. She teaches deaf children, he is a musician, working on his own compositions. Their separate worlds, one silent, the other full of sounds, create a vivid pattern of contrasts, which affect their emotional lives and their living together. From the time they move into the house, they are strangely aware of something odd, especially she, while he concentrates more and more upon his work. A series of incidents adds to her growing uneasiness about the house. Its past seems to creep in on her. She feels as if some tragedy must have befallen the people that lived there before, but when she starts asking around she gets few answers. There is something about the house that seems to be on the verge of overpowering her - something that in an unexpected way is related to her origins and permanently affects her life and destiny.",is,https://image.tmdb.org/t/p/w500/ameAVg0luj5dZDMDOUruxvDRhh8.jpg,5.5,Egill Eðvarðsson,"Pegasus Pictures, Sagafilm"
Diary,1983,99,"A film diary in which Perlov films the minutiae of his and his family's day-to-day life. From these small bits, he builds up a broad picture of life in Israel in the '70s and '80s.",he,https://image.tmdb.org/t/p/w500/ekUTgar8TzJyUquGEWVyX1m5RpG.jpg,6.8,David Perlov,
Io con te non ci sto più,1983,,,it,N/A,0,Gianni Amico,
I Am Your God,1983,18,"A traveling middle-aged woman plans to stay overnight in Bosnian town. In her dreams, she gets sexually aroused by a thought of young receptionist, whose father doesn't let him to meet with the girl he loves.",sh,N/A,8,Zvonimir Maycug,Panonija Film
Nudes in Limbo,1983,18,"The video is a series of short pieces of very buff nude people. The models don't speak, and the backgrounds are solid colors, with no decorations to let you know where the models are. So these nudes are, if not truly in limbo, certainly no place you can describe.  In each short piece, the model is/models are performing some G-rated activity that shows off their body: a gymnast man works out on the hanging rings, two women hold in front of them a gauzy cloth that is being blown by an off-camera fan, a blonde runs a fluorescent tube down the length of her body, etc.",en,https://image.tmdb.org/t/p/w500/AdZjCcC3rRFAp1nlm5yahgA3tGU.jpg,4.6,Bruce Seth Green,
Life and Blood of a Polak,1983,,,pt,https://image.tmdb.org/t/p/w500/ffUgmu2M6cAxFWyOZDV9XHcUXQ6.jpg,0,Sylvio Back,
Moss-Covered Asphalt,1983,10751,"A boy-poet from the village enrolls at the elementary school in the nearest city, but the other kids reject him for not being one of theirs. However, the real values emerge at the surface.",sh,https://image.tmdb.org/t/p/w500/3myi6nKvokgXW2j0OAyDHBnaoVe.jpg,0,Jovan Rančić,"Avala Film, Croatia Film"
